CustomerID,SimilarCustomerID,Score
C0001,C0137,0.9978325794242129
C0001,C0107,0.9969594728879452
C0001,C0011,0.9968546369460036
C0002,C0029,0.9997802822212242
C0002,C0031,0.9948518833035203
C0002,C0142,0.9903387624045964
C0003,C0190,0.9849273462839226
C0003,C0038,0.9831410376570627
C0003,C0072,0.9818039846093485
C0004,C0113,0.9971268869935896
C0004,C0017,0.9971201065560621
C0004,C0068,0.9965583836118803
C0005,C0131,0.9977515844017086
C0005,C0061,0.9972305895335871
C0005,C0167,0.9952905807740772
C0006,C0079,0.9982789698746951
C0006,C0117,0.9969029010422213
C0006,C0026,0.9935167220980557
C0007,C0085,0.9981807799918639
C0007,C0074,0.9948940924284891
C0007,C0050,0.9929003289344288
C0008,C0084,0.9876593841377257
C0008,C0017,0.9821512137931158
C0008,C0162,0.9816093608189005
C0009,C0128,0.9839905236664065
C0009,C0123,0.9738108935399606
C0009,C0015,0.968913869808225
C0010,C0142,0.97552577740227
C0010,C0029,0.9651760828300845
C0010,C0094,0.9641242241769536
C0011,C0064,0.9986058454455368
C0011,C0183,0.9981497414562333
C0011,C0107,0.9977322634882064
C0012,C0053,0.9986400426537662
C0012,C0145,0.9967977221539979
C0012,C0153,0.9966862200633457
C0013,C0051,0.9978975378668914
C0013,C0059,0.997009660368214
C0013,C0104,0.9968771637840217
C0014,C0097,0.9938081299360739
C0014,C0033,0.9392627149949788
C0014,C0110,0.9333196402904299
C0015,C0128,0.9844940583355818
C0015,C0080,0.9827531117598743
C0015,C0123,0.9801722201351427
C0016,C0187,0.9932927495235078
C0016,C0158,0.991763082100035
C0016,C0048,0.9916278046297945
C0017,C0084,0.9990778872826441
C0017,C0162,0.9974416489288589
C0017,C0004,0.9971201065560621
C0018,C0182,0.9975981361928692
C0018,C0012,0.995230767335711
C0018,C0053,0.9931518707160133
C0019,C0172,0.9932774433548822
C0019,C0088,0.9897048178066009
C0019,C0047,0.9853958985016269
C0020,C0080,0.9969281873335035
C0020,C0130,0.9953772930085368
C0020,C0150,0.9933401714152825
